search key,type,text
dog,description,"the dog is a domesticated carnivoran of the family canidae. it is part of the wolf-like canids, and is the most widely abundant terrestrial carnivore."
dog,lifespan, 10 - 13 years
dog,family, canidae
dog,gestation period, 58 - 68 days
dog,daily sleep, 12 - 14 hours (adult)
dog,class, mammalia
dog,scientific name, canis lupus familiaris
cat,description,the cat is a domestic species of small carnivorous mammal. it is the only domesticated species in the family felidae and is often referred to as the domestic cat to distinguish it from the wild members of the family.
cat,lifespan, 2 - 16 years (in the wild)
cat,family, felidae
cat,gestation period, 58 - 67 days
cat,daily sleep, 12 - 16 hours
cat,mass, 3.6 - 4.5 kg (adult)
cat,scientific name, felis catus
